Travelling Companion,Continent,Country,Year,Percentage
ALONE,Asia,Singapore,2016,18.6399
WITH SPOUSE,Asia,Singapore,2016,35.4758
WITH CHILDREN,Asia,Singapore,2016,3.93946
WITH FAMILY/RELATIVES,Asia,Singapore,2016,23.7404
STUDENT GROUP,Asia,Singapore,2016,0.0829359
WITH FRIENDS,Asia,Singapore,2016,14.6797
WITH BUSINESS ASSOCIATE,Asia,Singapore,2016,2.1978
WITH INCENTIVE GROUP,Asia,Singapore,2016,0.435414
OTHERS,Asia,Singapore,2016,0.808625
ALONE,Asia,Singapore,2017,20.6079
WITH SPOUSE,Asia,Singapore,2017,39.3571
WITH CHILDREN,Asia,Singapore,2017,5.90933
WITH FAMILY/RELATIVES,Asia,Singapore,2017,22.8909
STUDENT GROUP,Asia,Singapore,2017,0.170062
WITH FRIENDS,Asia,Singapore,2017,9.34283
WITH BUSINESS ASSOCIATE,Asia,Singapore,2017,1.05348
WITH INCENTIVE GROUP,Asia,Singapore,2017,0.141507
OTHERS,Asia,Singapore,2017,0.526811
ALONE,Asia,Thailand,2016,30.1111
WITH SPOUSE,Asia,Thailand,2016,16.6667
WITH CHILDREN,Asia,Thailand,2016,0.888889
WITH FAMILY/RELATIVES,Asia,Thailand,2016,12
STUDENT GROUP,Asia,Thailand,2016,3.11111
WITH FRIENDS,Asia,Thailand,2016,30.2222
WITH BUSINESS ASSOCIATE,Asia,Thailand,2016,4.77778
WITH INCENTIVE GROUP,Asia,Thailand,2016,1
OTHERS,Asia,Thailand,2016,1.22222
ALONE,Asia,Thailand,2017,23.2079
WITH SPOUSE,Asia,Thailand,2017,17.7518
WITH CHILDREN,Asia,Thailand,2017,4.22954
WITH FAMILY/RELATIVES,Asia,Thailand,2017,11.8421
STUDENT GROUP,Asia,Thailand,2017,4.44758
WITH FRIENDS,Asia,Thailand,2017,29.2652
WITH BUSINESS ASSOCIATE,Asia,Thailand,2017,4.80351
WITH INCENTIVE GROUP,Asia,Thailand,2017,2.65669
OTHERS,Asia,Thailand,2017,1.7957
ALONE,Asia,Indonesia,2016,12.8992
WITH SPOUSE,Asia,Indonesia,2016,24.6218
WITH CHILDREN,Asia,Indonesia,2016,3.84454
WITH FAMILY/RELATIVES,Asia,Indonesia,2016,37.9412
STUDENT GROUP,Asia,Indonesia,2016,0.945378
WITH FRIENDS,Asia,Indonesia,2016,14.895
WITH BUSINESS ASSOCIATE,Asia,Indonesia,2016,2.10084
WITH INCENTIVE GROUP,Asia,Indonesia,2016,1.57563
OTHERS,Asia,Indonesia,2016,1.17647
ALONE,Asia,Indonesia,2017,10.4444
WITH SPOUSE,Asia,Indonesia,2017,28.0399
WITH CHILDREN,Asia,Indonesia,2017,3.87494
WITH FAMILY/RELATIVES,Asia,Indonesia,2017,34.8569
STUDENT GROUP,Asia,Indonesia,2017,0.903758
WITH FRIENDS,Asia,Indonesia,2017,15.4903
WITH BUSINESS ASSOCIATE,Asia,Indonesia,2017,2.66873
WITH INCENTIVE GROUP,Asia,Indonesia,2017,2.29633
OTHERS,Asia,Indonesia,2017,1.42469
ALONE,Asia,Brunei,2016,10.2436
WITH SPOUSE,Asia,Brunei,2016,24.9456
WITH CHILDREN,Asia,Brunei,2016,2.2401
WITH FAMILY/RELATIVES,Asia,Brunei,2016,44.4976
STUDENT GROUP,Asia,Brunei,2016,0
WITH FRIENDS,Asia,Brunei,2016,16.1592
WITH BUSINESS ASSOCIATE,Asia,Brunei,2016,1.10918
WITH INCENTIVE GROUP,Asia,Brunei,2016,0.0652458
OTHERS,Asia,Brunei,2016,0.717703
ALONE,Asia,Brunei,2017,6.84509
WITH SPOUSE,Asia,Brunei,2017,21.2284
WITH CHILDREN,Asia,Brunei,2017,2.22397
WITH FAMILY/RELATIVES,Asia,Brunei,2017,54.499
STUDENT GROUP,Asia,Brunei,2017,0.0823976
WITH FRIENDS,Asia,Brunei,2017,14.2157
WITH BUSINESS ASSOCIATE,Asia,Brunei,2017,0.816346
WITH INCENTIVE GROUP,Asia,Brunei,2017,0.0421526
OTHERS,Asia,Brunei,2017,0.0469216
ALONE,Asia,Philippines,2016,13.9194
WITH SPOUSE,Asia,Philippines,2016,27.4725
WITH CHILDREN,Asia,Philippines,2016,1.4652
WITH FAMILY/RELATIVES,Asia,Philippines,2016,15.0183
STUDENT GROUP,Asia,Philippines,2016,5.49451
WITH FRIENDS,Asia,Philippines,2016,34.0659
WITH BUSINESS ASSOCIATE,Asia,Philippines,2016,1.0989
WITH INCENTIVE GROUP,Asia,Philippines,2016,0
OTHERS,Asia,Philippines,2016,1.4652
ALONE,Asia,Philippines,2017,3.49299
WITH SPOUSE,Asia,Philippines,2017,7.56357
